
臺中市 113年11月全區各區人口結構,,,,,,,,,,,,,,,,,,,,,,,
區域別,性別,總計,0-4歲合計,5-9歲合計,10-14歲合計,15-19歲合計,20-24歲合計,25-29歲合計,30-34歲合計,35-39歲合計,40-44歲合計,45-49歲合計,50-54歲合計,55-59歲合計,60-64歲合計,65-69歲合計,70-74歲合計,75-79歲合計,80-84歲合計,85-89歲合計,90-94歲合計,95-99歲合計,100歲以上
神岡區,男,"32,589","1,108","1,379","1,400","1,652","2,013","2,455","2,454","2,481","2,809","2,674","2,259","2,270","2,341","2,064","1,507",787,528,289,97,20,2
神岡區,女,"31,438","1,034","1,263","1,258","1,450","1,806","2,258","2,149","2,103","2,668","2,509","2,227","2,255","2,469","2,204","1,656",886,625,425,151,36,6
潭子區,計,"109,401","3,811","4,940","4,711","5,118","6,485","8,084","8,292","7,881","9,179","9,214","8,230","8,446","8,069","6,704","4,971","2,453","1,598",783,322,98,12
潭子區,男,"53,780","2,005","2,573","2,456","2,634","3,380","4,242","4,290","4,096","4,587","4,431","3,849","3,950","3,702","3,116","2,275","1,104",643,273,125,42,7
潭子區,女,"55,621","1,806","2,367","2,255","2,484","3,105","3,842","4,002","3,785","4,592","4,783","4,381","4,496","4,367","3,588","2,696","1,349",955,510,197,56,5
大雅區,計,"95,282","3,548","4,758","4,877","4,733","5,819","7,085","7,361","7,095","8,248","7,817","6,663","6,961","6,897","5,485","3,961","1,804","1,168",671,254,69,8
大雅區,男,"47,217","1,796","2,501","2,503","2,375","3,056","3,782","3,814","3,620","4,013","3,893","3,254","3,267","3,231","2,615","1,833",788,493,238,103,37,5
大雅區,女,"48,065","1,752","2,257","2,374","2,358","2,763","3,303","3,547","3,475","4,235","3,924","3,409","3,694","3,666","2,870","2,128","1,016",675,433,151,32,3
新社區,計,"22,855",534,699,773,969,"1,473","1,569","1,438","1,288","1,622","1,764","1,795","1,881","1,812","1,584","1,395",866,706,440,180,60,7
新社區,男,"11,781",265,373,401,505,784,833,783,695,814,893,978,"1,048",953,822,641,387,309,198,70,27,2
新社區,女,"11,074",269,326,372,464,689,736,655,593,808,871,817,833,859,762,754,479,397,242,110,33,5
石岡區,計,"13,894",345,381,466,579,813,977,918,860,"1,060","1,025",957,"1,060","1,172","1,149",901,481,362,251,108,26,3
石岡區,男,"7,139",171,204,234,311,430,493,474,492,534,550,519,537,615,595,439,227,166,96,41,9,2
石岡區,女,"6,755",174,177,232,268,383,484,444,368,526,475,438,523,557,554,462,254,196,155,67,17,1
外埔區,計,"30,944","1,026","1,136","1,108","1,435","1,962","2,263","2,270","2,220","2,638","2,587","2,204","2,292","2,249","2,029","1,569",843,567,362,136,43,5
外埔區,男,"15,755",541,616,571,733,"1,017","1,173","1,247","1,139","1,381","1,345","1,112","1,161","1,134",961,744,403,269,146,50,12,0
外埔區,女,"15,189",485,520,537,702,945,"1,090","1,023","1,081","1,257","1,242","1,092","1,131","1,115","1,068",825,440,298,216,86,31,5
大安區,計,"17,836",524,520,518,742,"1,138","1,339","1,310","1,175","1,359","1,416","1,289","1,468","1,440","1,082",900,599,520,350,110,32,5
大安區,男,"9,370",266,264,270,377,568,691,737,640,745,767,688,816,790,575,464,273,236,154,38,11,0
大安區,女,"8,466",258,256,248,365,570,648,573,535,614,649,601,652,650,507,436,326,284,196,72,21,5
烏日區,計,"81,133","3,278","3,904","3,789","3,746","4,518","5,653","6,494","6,348","7,389","7,004","5,695","5,514","5,342","4,670","3,679","1,841","1,222",671,303,66,7
烏日區,男,"40,186","1,692","2,013","2,012","1,908","2,333","2,915","3,247","3,212","3,670","3,435","2,741","2,688","2,574","2,199","1,739",873,515,257,128,31,4
烏日區,女,"40,947","1,586","1,891","1,777","1,838","2,185","2,738","3,247","3,136","3,719","3,569","2,954","2,826","2,768","2,471","1,940",968,707,414,175,35,3
